pickup_hour,day_of_week,total_trips,avg_duration_minutes,avg_fare,avg_tip_pct
0,Friday,31751,13.340241252244024,28.359203174703207,0.24746370193064632
0,Saturday,57830,13.103199031644476,25.12810202317144,0.22140480719349276
0,Tuesday,14285,15.693034651732587,37.53173258662935,0.1973790689534477
0,Monday,20232,15.090549624357454,34.67711941478848,0.20010132463424257
0,Wednesday,16317,14.552736409879268,33.74315805601522,0.20491450634307773
0,Sunday,57066,12.999947429292398,25.30491238215403,0.2186715382188992
0,Thursday,19805,13.968795758646806,31.066486240848317,0.20850694269123937
1,Thursday,8975,11.855598885793873,26.24546406685236,0.2068612813370474
1,Friday,17546,11.878946768494243,26.060314031688158,0.21317793229226017
1,Saturday,47009,11.84356187113106,23.24046012465705,0.22413367653002159
1,Tuesday,5946,14.644466868483013,35.454179280188335,0.18620248906828124
1,Sunday,46286,12.905608607354276,23.68766279220501,0.22023873309423614
1,Wednesday,6631,12.898507012516966,29.98386517870608,0.2014779068013874
1,Monday,12343,14.92019768289719,31.36445596694482,0.20228793648221674
2,Friday,9607,11.253148745706255,24.522433642135933,0.20982512751118998
2,Saturday,33679,11.262359333709433,22.629701297544482,0.22229698031414083
2,Tuesday,2935,13.454173764906303,32.38053151618397,0.1856115843270869
2,Monday,9230,13.802383531960997,28.532772481040087,0.20797508125677155
2,Wednesday,3801,12.606945540647198,29.925138121546958,0.19747697974217318
2,Sunday,31836,11.384941575574821,22.812565648950905,0.21872063073250247
2,Thursday,4927,11.751370002029633,25.863990257763337,0.19631215749949263
3,Thursday,3369,12.870584743247255,30.154283170080134,0.1896556841792817
3,Sunday,23412,11.255851699982914,23.731105843157366,0.21514095335725184
3,Wednesday,2398,13.946622185154295,34.45421184320266,0.17304420350291913
3,Monday,6475,13.268108108108109,28.8841328185328,0.19986872586872595
3,Saturday,20689,11.359949731741505,23.655111895210027,0.41403402774421344
3,Tuesday,1955,13.763171355498722,34.74395396419437,0.17116112531969307
3,Friday,6002,11.93302232589137,27.12323892035987,0.2023975341552817
4,Monday,4764,14.896515533165408,35.915957178841296,0.19083333333333335
4,Wednesday,2906,18.12456985547144,43.55533723331037,0.15991741225051617
4,Sunday,11524,12.262148559527942,27.862421034363052,0.19731690385282896
4,Friday,4591,15.50860379002396,37.09456981049878,0.18330211282944892
4,Tuesday,2473,17.59886777193692,41.12549534977759,0.15592802264456126
4,Saturday,10078,12.482933121651122,28.102499503869804,0.20213534431434832
4,Thursday,3384,16.66164302600473,39.51103723404254,0.1719001182033097
5,Friday,7350,16.951292517006802,39.47941224489794,0.181186394557823
5,Saturday,4749,15.202779532533166,38.81731522425771,0.17479258791324492
5,Tuesday,6643,16.524311305133224,35.12354659039588,0.1751422550052687
